Company,Revenues,Profits,Employees,Sector,Industry
Ascena Retail Group,6650,-1067.3,40000,Retailing,Specialty Retailers: Apparel
United Rentals,6641,1346,14800,Business Services,Miscellaneous
Caseys General Stores,6641,177.5,25463,Retailing,Specialty Retailers: Other
Graybar Electric,6631,71.6,8500,Wholesalers,Wholesalers: Diversified
Avery Dennison,6614,281.8,30000,Materials,"Packaging, Containers"
MasTec,6607,347.2,17300,Engineering & Construction,"Engineering, Construction"
CMS Energy,6583,460,7887,Energy,Utilities: Gas and Electric
HD Supply Holdings,6534,970,11000,Wholesalers,Wholesalers: Diversified
Raymond James Financial,6525,636.2,12700,Financials,Securities
NCR,6516,232,34000,Technology,"Computers, Office Equipment"
Hanesbrands,6478,61.9,67200,Apparel,Apparel
Asbury Automotive Group,6457,139.1,8000,Retailing,"Automotive Retailing, Services"
Citizens Financial Group,6454,1652,17594,Financials,Commercial Banks
Packaging Corp. of America,6445,668.6,14600,Materials,"Packaging, Containers"
Alleghany,6425,90.1,4402,Financials,Insurance: Property and Casualty (Stock)
Apache,6423,1304,3356,Energy,"Mining, Crude-Oil Production"
Dillards,6423,221.3,31400,Retailing,General Merchandisers
Assurant,6415,519.6,14175,Financials,Insurance: Property and Casualty (Stock)
Franklin Resources,6392,1696.7,9386,Financials,Securities
Owens Corning,6384,289,17000,Materials,"Building Materials, Glass"
Motorola Solutions,6380,-155,15000,Technology,Network and Other Communications Equipment
NVR,6322,537.5,5200,Engineering & Construction,Homebuilders
Rockwell Automation,6311,825.7,22000,Industrials,"Electronics, Electrical Equip."
TreeHouse Foods,6307,-286.2,13489,"Food, Beverages & Tobacco",Food Consumer Products
Wynn Resorts,6306,747.2,25200,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts"
Olin,6268,549.5,6400,Chemicals,Chemicals
American Axle & Manufacturing,6266,337.1,25000,Motor Vehicles & Parts,Motor Vehicles and Parts
Old Republic International,6263,560.5,8700,Financials,Insurance: Property and Casualty (Stock)
Chemours,6183,746,7000,Chemicals,Chemicals
iHeartMedia,6178,-704.4,18700,Media,Entertainment
Ameren,6177,523,8615,Energy,Utilities: Gas and Electric
Arthur J. Gallagher,6160,463.1,26783,Financials,Diversified Financials
Celanese,6140,843,7592,Chemicals,Chemicals
Sealed Air,6131,814.9,15000,Materials,"Packaging, Containers"
UGI,6121,436.6,13000,Energy,Energy
Realogy Holdings,6114,431,11800,Financials,Real estate
Burlington Stores,6110,384.9,40000,Retailing,Specialty Retailers: Apparel
Regions Financial,6093,1263,21714,Financials,Commercial Banks
AK Steel Holding,6081,6.2,9200,Materials,Metals
Securian Financial Group,6067,418.9,5000,Financials,"Insurance: Life, Health (stock)"
S& P Global,6063,1496,20400,Business Services,Financial Data Services
Markel,6062,395.3,15600,Financials,Insurance: Property and Casualty (Stock)
TravelCenters of America,6052,9.3,19611,Retailing,Specialty Retailers: Other
Conduent,6022,181,90000,Business Services,Diversified Outsourcing Services
M& T Bank Corp.,6019,1408.3,16354,Financials,Commercial Banks
Clorox,5973,701,8100,Household Products,Household and Personal Products
AmTrust Financial Services,5959,-348.9,9300,Financials,Insurance: Property and Casualty (Stock)
KKR,5930,1018.3,1184,Financials,Securities
Ulta Beauty,5885,555.2,24200,Retailing,Specialty Retailers: Other
Yum Brands,5878,1340,60000,"Hotels, Restaurants & Leisure",Food Services
Regeneron Pharmaceuticals,5872,1198.5,6200,Health Care,Pharmaceuticals
Windstream Holdings,5853,-2116.6,12979,Telecommunications,Telecommunications
Magellan Health,5838,110.2,10700,Health Care,Health Care: Insurance and Managed Care
Western & Southern Financial,5836,310.4,2226,Financials,"Insurance: Life, Health (Mutual)"
Intercontinental Exchange,5834,2514,4952,Financials,Securities
Ingredion,5832,519,11000,"Food, Beverages & Tobacco",Food Production
Wyndham Destinations,5821,871,39200,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts"
Toll Brothers,5815,535.5,4500,Engineering & Construction,Homebuilders
Seaboard,5809,247,11800,"Food, Beverages & Tobacco",Food Production
Booz Allen Hamilton,5804,252.5,23300,Technology,Information Technology Services
First American Financial,5772,423,18705,Financials,Insurance: Property and Casualty (Stock)
Cincinnati Financial,5732,1045,4925,Financials,Insurance: Property and Casualty (Stock)
Avon Products,5716,22,25000,Household Products,Household and Personal Products
Northern Trust,5716,1199,18100,Financials,Commercial Banks
Fiserv,5696,1246,24000,Business Services,Financial Data Services
Harley-Davidson,5647,521.8,5800,Transportation,Transportation Equipment
Cheniere Energy,5601,-393,1230,Energy,Energy
Patterson,5593,170.9,7500,Wholesalers,Wholesalers: Health Care
Peabody Energy,5579,NA,7100,Energy,"Mining, Crude-Oil Production"
ON Semiconductor,5543,810.7,34000,Technology,Semiconductors and Other Electronic Components
Simon Property Group,5539,1948,4150,Financials,Real estate
Western Union,5524,-557.1,11500,Business Services,Financial Data Services
NetApp,5519,509,10100,Technology,"Computers, Office Equipment"
Polaris Industries,5505,172.5,11000,Transportation,Transportation Equipment
Pioneer Natural Resources,5455,833,3836,Energy,"Mining, Crude-Oil Production"
ABM Industries,5454,3.8,140000,Business Services,Diversified Outsourcing Services
Vistra Energy,5430,-254,4150,Energy,Energy
Cintas,5429,480.7,42000,Business Services,Diversified Outsourcing Services
