Rank,Name,Number Of Employees,Change In Rank,Industry,Company Description,Revenues_millions,Revenue_Change,Profits_millions,Profit_Change,"Assets
($millions)","Market Value
As of 3/31/20 ($m)"
115,Bristol-myers Squibb,30000,23,Pharmaceutical Company,"The Company Develops, Licenses, Manufactures, Markets, And Sells Pharmaceutical And Nutritional Products. Bristol-myers Squibb Focuses On Products And Experimental Therapies Address Cancer, Heart Disease, Hiv And Aids, Diabetes, Rheumatoid Arthritis, Hepatitis, Organ Transplant Rejection, And Psychiatric Disorders.","$26,145",15.90%,"$3,439.00",-30.10%,"$129,944","$126,110"
116,Us Foods Holding,28000,9,Retail Company,The Company Is A Foodservice Distributor In The United States.,"$25,939",7.30%,$385.00,-5.40%,"$11,288","$3,898"
117,Mondelez International,80000,-1,Food Processing Company,"Mondelēz, Is An American Multinational Confectionery, Food, Holding And Beverage And Snack Food.","$25,868",-0.30%,"$3,870.00",14.50%,"$64,549","$71,762"
118,Paccar,27000,12,Manufacturing Company,Largest Manufacturers Of Medium- And Heavy-duty Trucks In The World,"$25,600",9.00%,"$2,387.90",8.80%,"$28,361","$21,175"
119,Thermo Fisher Scientific,75000,5,Laboratory Equipment,"American Provisioner Of Scientific Instrumentation, Reagents And Consumables, And Software And Services To Healthcare, Life Science, And Other Laboratories In Academia, Government, And Industry.","$25,542",4.90%,"$3,696.00",25.80%,"$58,381","$113,108"
120,Macy's,123000,-2,Department Store Company,"Department Store, An Iconic Brand And Retail Industry Leader.","$25,331",-1.60%,$564.00,-49.10%,"$21,172","$1,520"
121,Jabil,200000,19,Electronics Manufacturing Services,"The Company Offers Digital Prototyping, Printed Electronics, Device Integration, Circuit Designing, And Volume Board Assembly Services. Jabil Serves Automotive, Consumer Health, Data Centers, Energy, And Defense And Aerospace Sectors Worldwide.","$25,282",14.40%,$287.10,232.60%,"$12,971","$3,738"
122,Kraft Heinz,37000,-7,Food & Beverages,It Is An American Food Company Formed By The Merger Of Kraft Foods And Heinz And Is Co-headquartered In Chicago.,"$24,977",-4.90%,"$1,935.00",-,"$101,450","$30,226"
123,Duke Energy,28793,3,Holding Company,Duke Energy Is One Of The Largest Energy Holding Companies In The United States.,"$24,658",2.20%,"$3,748.00",40.60%,"$158,838","$59,368"
124,Tesla,48016,20,Electric Car Company,"Tesla, Inc. (formerly Tesla Motors, Inc.) Is An American Electric Vehicle And Clean Energy Company Based In Palo Alto, California.","$24,578",14.50%,-$862.00,-,"$34,309","$96,473"
125,Pbf Energy,3442,-12,Petroleum Refining Company,"Pbf Energy Inc. Is A Petroleum Refiner And Supplier Of Unbranded Transportation Fuels, Heating Oils, Lubricants, Petrochemical Feedstocks, And Other Petroleum Products.","$24,508",-9.90%,$319.40,148.90%,"$9,132",$848
126,Qualcomm,37000,11,Semiconductor Company,Qualcomm (qcom) Is Known For Designing And Manufacturing Wireless Telecommunications Products.,"$24,273",7.40%,"$4,386.00",-,"$32,957","$77,327"
127,Ngl Energy Partners,1300,52,Energy Company,"Ngl Energy Partners Is A Vertically Integrated, Full Service Midstream Provider Focused On Four Business Segments:crude Oil Logistics, Water Treatment Services, Ngl Logistics,retail Propane.","$24,088",39.40%,$360.00,-,"$5,903",$334
128,Cbre Group,100000,18,Real Estate Company,Its An American Commercial Real Estate Services And Investment Firm.,"$23,894",12.00%,"$1,282.40",20.60%,"$16,197","$12,625"
129,Baker Hughes,68000,-,Oil Industry Company,Baker Hughes Company Is An American International Industrial Service Company And One Of The World's Largest Oil Field Services Companies.,"$23,838",4.20%,$128.00,-34.40%,"$53,369","$10,827"
130,Synnex,240900,28,It Company,Synnex Corporation Is An American Multinational Corporation That Provides B2b It Services.,"$23,757",18.50%,$500.70,66.60%,"$11,698","$3,719"
131,Dollar Tree,125000,4,Retail Company,American Chain Of Discount Variety Stores That Sells Items For $1 Or Less.,"$23,611",3.50%,$827.00,-,"$19,575","$17,399"
132,Cummins,61615,-4,Heavy Equipment,"They Designs, Manufactures, And Distributes Engines, Filtration, And Power Generation Products.","$23,571",-0.80%,"$2,260.00",5.60%,"$19,737","$20,044"
133,United Natural Foods,19000,177,Wholesale Company,"United Natural Foods, Inc. Distributes Natural Foods And Related Products. The Company Offers Natural Products Consisting Of Groceries And General Merchandise, Nutritional Supplements, Bulk And Foodservice Products, Personal Care Items, Perishables, And Frozen Foods.","$23,481",129.60%,-$285.00,-272.00%,"$7,181",$492
134,Micron Technology,37000,-29,Semiconductors,"Producer Of Computer Memory And Computer Data Storage Including Dynamic Random-access Memory, Flash Memory, And Usb Flash Drives.","$23,406",-23.00%,"$6,313.00",-55.30%,"$48,887","$46,779"
135,Amgen,23400,-6,Biotechnology Company,Amgen Inc. Is An American Multinational Biopharmaceutical Company .,"$23,362",-1.60%,"$7,842.00",-6.60%,"$59,707","$119,572"
136,Penske Automotive Group,26980,-,Automotive,Is An International Transportation Services Company That Operates Automotive And Commercial Truck Dealerships .,"$23,179",1.70%,$435.80,-7.50%,"$13,943","$2,265"
137,Visa,19500,16,Financial Services Company,"It Facilitates Electronic Funds Transfers Throughout The World, Most Commonly Through Visa-branded Credit Cards, Debit Cards And Prepaid Cards.","$22,977",11.50%,"$12,080.00",17.30%,"$72,574","$316,199"
138,Broadcom,19000,12,Semiconductor Company,"Broadcom Inc. Is A Global Technology Leader That Designs, Develops And Supplies Semiconductor And Infrastructure Software Solutions.","$22,597",8.40%,"$2,724.00",-77.80%,"$67,493","$94,791"
139,Nucor,26800,-19,Steel Production Company,"Nucor Corporation Is The Safest, Highest Quality, Lowest Cost, Most Productive And Most Profitable Steel And Steel Products Company In The World.","$22,589",-9.90%,"$1,271.10",-46.20%,"$18,345","$10,847"
140,Gilead Sciences,11800,-1,Biotechnology Company,We Strive To Help Improve The Lives Of People With Life-threatening Illnesses Around The World By Giving Them Access To The Medicine They Need.,"$22,449",1.50%,"$5,386.00",-1.30%,"$61,627","$94,124"
141,Southwest Airlines,60767,1,Airlines,Southwest Airlines Is A Major Low-cost Aviation Provider In The United States.,"$22,428",2.10%,"$2,300.00",-6.70%,"$25,895","$18,421"
142,Halliburton,55000,-15,Oilfield Services & Equipment,"One Of The World's Largest Oil Field Service Companies, It Has Operations In More Than 70 Countries.","$22,408",-6.60%,"-$1,131.00",-168.30%,"$25,377","$6,027"
143,Centurylink,42500,-11,Telecommunications Company,"Centurylink (nyse: Ctl) Is A Technology Leader Delivering Hybrid Networking, Cloud Connectivity, And Security Solutions To Customers Around The World.","$22,401",-4.40%,"-$5,269.00",-,"$64,742","$10,307"
144,International Paper,51000,-11,Pulp And Paper,"Is An American Pulp And Paper Company, The Largest Such Company In The World.","$22,376",-4.00%,"$1,225.00",-39.10%,"$33,471","$12,207"
145,Eli Lilly,33625,-22,Pharmaceutical Company,Eli Lilly And Company Is An American Pharmaceutical Company.,"$22,320",-9.10%,"$8,318.40",157.40%,"$39,286","$132,760"
146,Aflac,11729,-3,Insurance Company,Aflac Inc. Is An American Insurance Company And Is The Largest Provider Of Supplemental Insurance In The United States.,"$22,307",2.50%,"$3,304.00",13.20%,"$152,768","$24,739"
147,Lennar,10106,7,Home Construction Company,Lennar Corporation Is A Home Construction And Real Estate Company Based In Miami.,"$22,260",8.20%,"$1,849.10",9.00%,"$29,360","$11,591"
148,Occidental Petroleum,14400,19,petroleum Industry,It Is An American Company Engaged In Hydrocarbon Exploration In The United States,"$21,971",16.00%,-$667.00,-116.10%,"$109,330","$10,367"
149,Union Pacific,37483,-15,Transport Company,Union Pacific Operates North America's Premier Railroad Franchise.,"$21,708",-4.90%,"$5,919.00",-0.80%,"$61,673","$97,355"
150,Rite Aid,42645,-43,Drugstore Company,"Rite Aid Corporation Is An American Drugstore Chain Based In Camp Hill, Pennsylvania","$21,674",-28.30%,-$422.20,-144.80%,"$7,591",$822
151,Pnc Financial Services Group,50968,8,Bank Holding Company,"Pnc Financial Services Group, Inc. Is A Diversified Financial Services Organization. The Company Provides Regional Banking, Wholesale Banking, And Asset Management Services Nationally And In The Company's Primary Regional Markets.","$21,624",8.20%,"$5,369.00",1.30%,"$410,295","$41,038"
152,Dupont,35000,-117,Chemicals Company,"Dupont Is Using Science And Innovation To Make The World A Safer, Healthier, And Better Place To Live. It's How We're Helping To Invent A Better Now.","$21,512",-75.00%,$498.00,-87.00%,"$69,396","$25,213"
153,Southern,27943,-22,Holding Company,Southern Company Is An American Gas And Electric Utility Holding Company Based In The Southern United States.,"$21,419",-8.80%,"$4,739.00",112.90%,"$118,700","$57,076"
154,Autonation,25000,-9,Automotive,"Autonation Is An American Automotive Retailer, Which Provides New And Pre-owned Vehicles And Associated Services In The United States.","$21,336",-0.40%,$450.00,13.60%,"$10,543","$2,511"
155,Dxc Technology,130000,-33,Information Technology & Services,Dxc Technology Is An American Multinational Corporation That Provides B2b It Services.,"$21,184",-13.70%,"$1,257.00",-28.20%,"$29,574","$3,311"
156,Mcdonald's,205000,-7,Fast Food Company,Mcdonald's Corporation Is An American Fast Food Company.,"$21,077",0.20%,"$6,025.40",1.70%,"$47,511","$123,260"
157,Marriott International,174000,-6,Hospitality Company,"Marriott International, Inc. Is An American Multinational Diversified Hospitality Company That Manages And Franchises A Broad Portfolio Of Hotels And Related Lodging Facilities.","$20,972",1.00%,"$1,273.00",-33.20%,"$25,051","$24,255"
158,Manpowergroup,28000,-17,Staffing Firm,"Manpowergroup Is The Third-largest Staffing Firm In The World . The Company Provides Administrative & Support Services, Professional Services, And Business Services Through Its Four Primary Brands: Manpower (contingent Staffing & Permanent Recruitment), Experis (professional Resourcing And Project-based Solutions), Right Management (career Management, Workforce Consulting, And Training & Development), And Manpowergroup Solutions (managed Services And Outsourcing)","$20,864",-5.10%,$465.70,-16.30%,"$9,224","$3,109"
159,Bank Of New York Mellon,48400,4,Investment Banking,"Bny Mellon, Is An American Investment Banking Services Holding Company . It Is The World's Largest Custodian Bank And Asset Servicing Company, With $2.0 Trillion In Assets Under Management And $38.6 Trillion In Assets Under Custody As Of The Second Quarter Of 2020.","$20,822",8.40%,"$4,441.00",4.10%,"$381,508","$29,809"
160,Hartford Financial Services Group,19500,1,Financial Services Company,It Is A United States-based Investment And Insurance Company.,"$20,740",4.60%,"$2,085.00",15.40%,"$70,817","$12,625"
161,Danaher,60000,-1,Conglomerate Company,"It Is An American Globally Diversified Conglomerate. The Company Designs, Manufactures, And Markets Professional, Medical, Industrial, And Commercial Products And Services. The Company's 4 Platforms Are ""life Sciences"", ""diagnostics"", ""water Quality"", And ""environmental & Applied Solutions"".","$20,521",3.20%,"$3,008.20",13.50%,"$62,082","$96,457"
162,Whirlpool,77000,-14,Home Appliance Company,It Is A Multinational Manufacturer And Marketer Of Home Appliances,"$20,419",-2.90%,"$1,184.00",-,"$18,881","$5,378"
163,Aecom,86000,-6,Multinational Engineering Firm,"Aecom Provides Archaeology, Architecture & Design, Asset Management, Construction, Cost Management, Decommissioning & Closure, Economics, Engineering, Environmental Services, International Development, It & Cyber Security, Operations & Maintenance, Planning & Consulting, Program, Management/construction Management, Risk Management & Resilience And Technical Services","$20,173",0.10%,-$261.10,-291.30%,"$14,462","$4,735"
164,Netflix,8600,33,Production Company,"Netflix, Inc. Is An American Over-the-top Content Platform And Production Company.","$20,156",27.60%,"$1,866.90",54.10%,"$33,976","$164,772"
165,Kohl's,79500,-9,Department Store Company,Kohl's Is The Largest Department Store Chain In The United States,"$19,974",-1.30%,$691.00,-13.70%,"$14,555","$2,265"
166,Lear,164100,-19,Manufacturing Company,Lear Corporation Is An American Company That Manufactures Automotive Seating And Automotive Electrical Systems.,"$19,810",-6.30%,$753.60,-34.50%,"$12,681","$4,913"
167,Altria Group,7300,-5,Tobacco Company,"Altria Group, Inc. Is The World's Largest Producers And Marketers Of Tobacco, Cigarettes And Related Products.","$19,796",0.90%,"-$1,293.00",-118.60%,"$49,271","$71,863"
168,performance Food Group,18000,8,Food Products,"The Company Distributes A Range Of Food Products. It Has Three Divisions, Each Catering To Specific Market Segments: Performance Foodservice, Vistar, And Pfg Customized.","$19,744",12.10%,$166.80,-16.10%,"$4,654","$2,897"
169,Avnet,15500,-4,Electronic Components,"Avnet Is A Global Leader Of Electronic Components And Services, Guiding Makers And Manufacturers From Design To Delivery.","$19,519",2.50%,$176.30,-,"$8,565","$2,506"
170,Synchrony Financial,16500,3,Financial Services,"Synchrony Financial Is A Consumer Financial Services Company. The Company Offers Consumer Financing Products, Including Credit, Promotional Financing And Loyalty Programs, Installment Lending To Industries, And Fdic-insured Consumer Savings Products.","$19,461",6.60%,"$3,747.00",34.30%,"$104,826","$9,871"
171,Genuine Parts,55000,-2,Automotive,"The Organization Is Engaged In The Distribution Of Automotive Replacement Parts, Industrial Replacement Parts, Office Products And Electrical/electronic Materials.","$19,392",3.50%,$621.10,-23.40%,"$14,646","$9,789"
172,Nextera Energy,14800,12,Electric Services,"Nextera Energy, Inc. Is An American Energy Company With About 46 Gigawatts Of Generating Capacity. It Is The World's Largest Generator Of Renewable Energy From The Wind And Sun. In Addition To Wind And Solar, Nextera Energy Resources Owns And Operates Generating Plants Powered By Natural Gas, Nuclear Energy, And Oil.","$19,204",14.80%,"$3,769.00",-43.20%,"$117,691","$117,655"
173,Carmax,25946,1,Automotive,Carmax Is America's Largest Used-car Retailer .,"$19,146",6.50%,$842.40,26.80%,"$18,718","$8,795"
174,Tenet Healthcare,101104,-2,Healthcare Company,Tenet Healthcare Corporation Is A Multinational Investor-owned Healthcare Services Company. The Company Operates 65 Hospitals And Approximately 500 Other Healthcare Facilities.,"$18,479",0.90%,-$232.00,-309.00%,"$23,351","$1,502"
